"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"629","Rhythm Rush!","Apr 24, 2017","$1.99","49% (81%)","8,783 ±2,750","6,531 ±2,371","02:58 (03:30)","KFriske Studios","KFriske Studios"
"680","Outbreak","Jan 17, 2017","$9.99","27% (69%)","8,783 ±2,750","5,630 ±2,202","03:22 (03:44)","Dead Drop Studios LLC","Dead Drop Studios LLC"
"569","Rot Gut","Jul 12, 2016","$1.99","71% (89%)","8,558 ±2,714","2,702 ±1,525","00:31 (00:56)","Shotgun Surgeons","Shotgun Surgeons"
"597","MultiVR.se","Jun 20, 2017","Free","N/A (N/A)","8,558 ±2,714","4,729 ±2,018","00:41 (00:15)","VRider, Inc.","VRider, Inc."
"702","Putrefaction 2: Void Walker","May 29, 2017","$7.99","N/A (N/A)","8,558 ±2,714","4,955 ±2,065","03:13 (03:05)","Kazakov Oleg","Kazakov Oleg"
"947","Vector 36","Jan 25, 2017","$24.99","45% (79%)","8,558 ±2,714","6,756 ±2,412","00:59 (00:36)","Red River Studio LLC","NA"
"952","Epic Manager - Create Your Own Adventuring Agency!","Dec 12, 2016","$13.49","24% (67%)","8,558 ±2,714","8,333 ±2,678","04:21 (03:02)","ManaVoid Entertainment Inc.","ManaVoid Entertainment Inc."
"1004","Gender Bender DNA Twister Extreme","Nov 23, 2015","$24.99","37% (75%)","8,558 ±2,714","7,657 ±2,568","10:31 (06:53)","Transcendent Games","Transcendent Games"
"389","VRZ: Torment","May 18, 2017","$9.99","41% (77%)","8,333 ±2,678","7,207 ±2,491","01:07 (00:39)","StormBringer Studios","StormBringer Studios"
"782","The Art of Fight | 4vs4 Fast-Paced FPS","Feb 17, 2017","$24.99","32% (72%)","8,333 ±2,678","6,981 ±2,452","02:15 (01:43)","Raptor-Lab","Raptor-Lab"
"905","Zenzizenzic","Jul 23, 2015","$9.99","N/A (N/A/85%)","8,333 ±2,678","4,279 ±1,919","01:42 (00:31)","bitHuffel","Adult Swim Games"
"258","Far Space VR","Jun 2, 2017","$1.99","15% (59%)","8,107 ±2,642","4,955 ±2,065","01:39 (01:29)","Alexey Glinskiy","Alexey Glinskiy"
"412","Far Space","Aug 25, 2017","$0.99","24% (67%)","8,107 ±2,642","2,702 ±1,525","00:22 (00:22)","Alexey Glinskiy","Alexey Glinskiy"
"490","Rogue Harvest","Nov 5, 2015","$1.24","N/A (N/A)","8,107 ±2,642","1,576 ±1,165","00:13 (00:16)","Genetix Studio","Genetix Studio"
"675","Cashtronauts","Aug 31, 2016","$7.99","N/A (N/A)","8,107 ±2,642","4,955 ±2,065","02:44 (03:28)","Simon Prefontaine","Simon Prefontaine"
"749","The Body Changer","Oct 15, 2015","$19.99","N/A (N/A)","8,107 ±2,642","4,729 ±2,018","03:05 (03:30)","TheShortAndTheTall","TheShortAndTheTall"
"755","C.R.E.E.P.S","Mar 16, 2016","$11.99","N/A (N/A)","8,107 ±2,642","1,126 ±984","00:06 (00:06)","BRINK 3D","BRINK 3D"
"860","Crystal Rift","Mar 30, 2016","$9.99","15% (58%)","8,107 ±2,642","4,279 ±1,919","03:06 (01:21)","Psytec Games Ltd","Psytec Games Ltd"
"464","Hive Jump","Jan 18, 2017","$19.99","49% (81%)","7,882 ±2,605","6,531 ±2,371","04:44 (03:57)","Graphite Lab","Graphite Lab"
"743","Spinning Maze","Oct 17, 2016","$9.99","N/A (N/A)","7,882 ±2,605","0 ±0","00:00 (00:00)","Beijing Xinrun Technology Co.,Ltd","Beijing Xinrun Technology Co.,Ltd"
"348","Dark Passenger","Apr 26, 2017","$1.99","N/A (N/A)","7,657 ±2,568","5,630 ±2,202","02:28 (02:42)","Idea Cabin","Idea Cabin"
"364","Burgers 2","Jan 13, 2017","$3.99","N/A (N/A)","7,657 ±2,568","4,279 ±1,919","04:11 (03:35)","Digitized Organism","Digitized Organism"
"399","Child Of Ault","Jan 24, 2017","$9.99","N/A (N/A)","7,657 ±2,568","5,180 ±2,112","02:02 (01:42)","Hangzhou NezhaGames","Hangzhou NezhaGames"
"593","Alpha Decay","Nov 8, 2016","$9.99","N/A (N/A)","7,657 ±2,568","5,855 ±2,245","03:04 (02:48)","Two Headed Monkey","Two Headed Monkey"
"709","Shrouded in Sanity","May 27, 2016","$5.99","59% (85%)","7,657 ±2,568","5,855 ±2,245","01:12 (01:04)","Steve Gal","Pugware"
"885","The Superfluous","May 19, 2017","$4.99","N/A (N/A)","7,657 ±2,568","5,855 ±2,245","03:00 (02:40)","Voided Pixels","Voided Pixels"
"914","MadOut Open City","Mar 29, 2016","$7.99","6% (45%)","7,657 ±2,568","6,756 ±2,412","05:01 (00:31)","MadOut Games","MadOut Games"
"1029","Nomad Fleet","Apr 19, 2016","$9.99","27% (69%)","7,657 ±2,568","4,729 ±2,018","03:15 (02:07)","Autarca","Autarca"
"287","Serial Cleaner","Jul 14, 2017","$14.99","65% (87%/68%)","7,432 ±2,530","4,955 ±2,065","03:16 (01:03)","iFun4All S.A.","Curve Digital"
"336","The Crypts of Anak Shaba - VR","Jul 6, 2017","$0.99","N/A (N/A)","7,432 ±2,530","4,279 ±1,919","03:29 (03:57)","Virtual Rage Studios LLC","Virtual Rage Studios LLC"
"430","Rock God Tycoon","Feb 13, 2017","$10.99","59% (85%)","7,432 ±2,530","6,756 ±2,412","05:44 (03:43)","EmberWulf","EmberWulf"
"550","Lord of the Dark Castle","Aug 13, 2015","$3.99","N/A (N/A)","7,432 ±2,530","4,279 ±1,919","03:18 (03:52)","Craze Creative Studios","Craze Creative Studios"
"832","Close Order","Jan 21, 2016","$4.99","N/A (N/A)","7,432 ±2,530","3,829 ±1,815","05:19 (04:47)","Raconteur Games","Raconteur Games"
"1012","Major\Minor","Oct 2016","$19.99","49% (81%)","7,432 ±2,530","5,405 ±2,157","05:44 (04:26)","Tall Tail Studios","Tall Tail Studios"
"303","VR Ping Pong","Sep 13, 2016","$1.99","49% (81%)","7,207 ±2,491","5,630 ±2,202","00:51 (00:38)","Reddoll Srl","IV Productions, Merge Games"
"552","WARTILE","Mar 17, 2017","$19.99","57% (84%)","7,207 ±2,491","6,081 ±2,288","08:16 (01:27)","Playwood Project","Playwood Project"
"567","Axion","Dec 11, 2015","$1.99","2% (33%)","7,207 ±2,491","4,955 ±2,065","03:18 (03:08)","Droog71","Droog71"
"595","Flower Design","Mar 17, 2017","$1.99","N/A (N/A)","7,207 ±2,491","1,576 ±1,165","00:38 (00:20)","PanGuoJun","PanGuoJun"
"954","Firebird - La Peri","Aug 19, 2016","$6.99","49% (81%)","7,207 ±2,491","5,855 ±2,245","00:48 (00:26)","Innerspace VR","Innerspace VR"
"980","King Kaiju","Jan 31, 2017","$4.99","65% (87%)","7,207 ±2,491","6,306 ±2,330","01:17 (01:30)","Fire Hose Games, Chris Chung","Fire Hose Games"
"982","Master of Magic Chess","May 23, 2017","Free","N/A (N/A)","7,207 ±2,491","4,955 ±2,065","00:27 (00:22)","The Ninth Art","The Ninth Art"
"987","Dungeon of gain","Jun 23, 2016","$4.99","N/A (N/A)","7,207 ±2,491","3,603 ±1,761","04:18 (04:59)","Defroids team","Defroids team"
"1009","DvDrum, Ultimate Drum Simulator!","Feb 9, 2017","$19.99","N/A (N/A)","7,207 ±2,491","1,576 ±1,165","15:45 (36:07)","DarkTigerDevelop","DarkTigerDevelop"
"588","Meridian: Squad 22","Aug 11, 2016","$14.99","N/A (N/A)","6,981 ±2,452","3,153 ±1,647","02:13 (03:11)","Elder Games","Merge Games, Headup Games"
"634","Manyland","Dec 7, 2015","$11.99","57% (84%)","6,981 ±2,452","4,279 ±1,919","07:07 (08:07)","Manyland","Manyland"
"799","The Great Whale Road","Mar 30, 2017","$19.99","22% (65%/61%)","6,981 ±2,452","6,306 ±2,330","08:07 (05:37)","Sunburned Games","Sunburned Games"
"882","7 Mages","Jun 23, 2016","$13.99","16% (60%)","6,981 ±2,452","4,504 ±1,969","11:28 (01:44)","Napoleon Games, s.r.o.","Napoleon Games, s.r.o."
"894","Tadpole Treble","Sep 2, 2016","$4.99","95% (96%/90%)","6,981 ±2,452","5,180 ±2,112","08:22 (03:43)","BitFinity","BitFinity, Sunken Treasure Games"
"1033","Herolike","Sep 28, 2016","$7.99","N/A (N/A)","6,981 ±2,452","3,378 ±1,705","03:25 (04:09)","Games Hut","Black Shell Media"
"379","Shadows of Kurgansk","Dec 15, 2016","$2.99","23% (66%)","6,756 ±2,412","5,630 ±2,202","09:29 (05:46)","Yadon Studio","Gaijin inCubator"
"451","LogicBots","Feb 8, 2017","$19.99","62% (86%)","6,756 ±2,412","6,081 ±2,288","05:51 (03:37)","Incandescent Games","Incandescent Games"
"610","Blasters of the Universe","Aug 31, 2017","$14.99","65% (87%)","6,756 ±2,412","1,576 ±1,165","01:11 (01:14)","The Secret Location","The Secret Location"
"911","Formula Fusion","May 31, 2017","$19.99","32% (72%/58%)","6,756 ±2,412","5,630 ±2,202","03:27 (01:06)","R8 Games Ltd","R8 Games Ltd"
"979","Power Link VR","Sep 9, 2016","Free","N/A (N/A)","6,756 ±2,412","3,153 ±1,647","00:46 (00:16)","Himi Games","Newsight games"
"993","Nefarious","Jan 23, 2017","$14.99","51% (82%/67%)","6,756 ±2,412","4,955 ±2,065","09:29 (06:15)","StarBlade","StarBlade"
"1017","Jurassic Survival","Aug 1, 2016","$8.99","N/A (N/A)","6,756 ±2,412","901 ±880","00:20 (00:20)","Technical Entertainment","Technical Entertainment"
"347","3030 Deathwar Redux","Sep 13, 2017","$14.99","99% (98%)","6,531 ±2,371","5,405 ±2,157","04:21 (03:01)","Bird in Sky","Crunchy Leaf Games"
"378","Polynomial 2 - Universe of the Music","May 31, 2016","$11.99","62% (86%)","6,531 ±2,371","4,279 ±1,919","01:22 (00:34)","Dmytry Lavrov, Alexey Lavrov","Dmytry Lavrov"
"546","Unclaimed World","Oct 4, 2016","$18.99","16% (60%)","6,531 ±2,371","6,306 ±2,330","04:46 (02:23)","Refactored Games OÜ","Refactored Games OÜ"
"574","Captain Kaon","Apr 14, 2017","$6.99","N/A (N/A)","6,531 ±2,371","4,054 ±1,868","04:15 (04:07)","Engage Pixel","Engage Pixel"
"679","The Fallen Kingdom","Sep 19, 2016","$7.99","N/A (N/A)","6,531 ±2,371","1,126 ±984","00:22 (00:17)","Radostin Stoychev","Real Games Studios"
"689","Shadows Peak","Mar 13, 2017","$4.79","23% (66%)","6,531 ±2,371","4,054 ±1,868","01:16 (00:40)","Andrii Vintsevych","Andrii Vintsevych"
"829","Planetship","Sep 24, 2015","$8.99","N/A (N/A)","6,531 ±2,371","2,928 ±1,587","01:40 (00:40)","John Lawrence","John Lawrence"
"856","9th Dawn II","Oct 17, 2016","$1.99","57% (84%)","6,531 ±2,371","4,955 ±2,065","02:44 (01:53)","Valorware","Valorware"
"397","Porno Studio Tycoon","May 5, 2017","$19.69","17% (61%)","6,306 ±2,330","5,180 ±2,112","09:07 (02:40)","Zitrix Megalomedia","Zitrix Megalomedia"
"401","Radial-G : Racing Revolved","Mar 28, 2016","$19.99","51% (82%)","6,306 ±2,330","5,630 ±2,202","06:15 (02:27)","Tammeka Games","Tammeka Games"
"639","Parallels","Nov 13, 2015","$4.99","N/A (N/A)","6,306 ±2,330","4,054 ±1,868","02:35 (02:23)","RisingHigh","RisingHigh"
"710","Go Go Electric Samurai","Aug 14, 2017","Free","N/A (N/A)","6,306 ±2,330","0 ±0","00:00 (00:00)","Hexagon Games, NAMI TENTOU","Hexagon Games"
"739","Link","Apr 22, 2016","$4.99","N/A (N/A)","6,306 ±2,330","4,729 ±2,018","03:31 (03:50)","Brainwashing Games","Brainwashing Games"
"804","A Demon's Game - Episode 1","Feb 9, 2017","$3.99","N/A (N/A)","6,306 ±2,330","450 ±622","01:24 (00:55)","RP Studios","RP Studios"
"937","So Long Earth","Apr 28, 2016","$3.99","N/A (N/A)","6,306 ±2,330","4,279 ±1,919","03:04 (03:10)","Edd Coast","Edd Coast"
"259","BIOS","Dec 13, 2016","$14.99","30% (71%)","6,081 ±2,288","4,504 ±1,969","03:10 (03:35)","PIXYUL","PIXYUL"
"269","School of Talent: SUZU-ROUTE","Feb 23, 2017","$8.99","N/A (N/A)","6,081 ±2,288","5,405 ±2,157","08:29 (03:33)","MyDearest","MyDearest"
"319","Black The Fall","Jul 11, 2017","$14.99","43% (78%/73%)","6,081 ±2,288","3,378 ±1,705","02:18 (02:00)","Sand Sailor Studio","Square Enix"
"579","Drifting Lands","Jun 5, 2017","$18.99","54% (83%/71%)","6,081 ±2,288","4,955 ±2,065","10:15 (07:01)","Alkemi","Alkemi"
"665","Grab the Bottle","May 22, 2017","$4.99","N/A (N/A)","6,081 ±2,288","4,279 ±1,919","02:06 (02:30)","Kamina Dimension","Kamina Dimension"
"699","Codex of Victory","Mar 16, 2017","$14.99","37% (75%)","6,081 ±2,288","4,504 ±1,969","04:37 (02:50)","Ino-Co Plus","1C Company"
"789","Congo","Mar 21, 2016","$9.99","14% (57%)","6,081 ±2,288","4,504 ±1,969","00:50 (00:45)","The Innocent Devils",""
"863","Goblins and Grottos","Jul 7, 2016","$12.99","N/A (N/A)","6,081 ±2,288","4,504 ±1,969","02:27 (02:11)","Psychic Software, Goblin Portal","Psychic Software, Goblin Portal"
"915","Detached","May 18, 2017","$24.99","49% (81%)","6,081 ±2,288","4,729 ±2,018","00:50 (00:29)","Anshar Studios","Anshar Studios"
"459","Bumper","Sep 12, 2016","$0.99","N/A (N/A)","5,855 ±2,245","3,829 ±1,815","02:44 (03:07)","Artur Rezende","Artur Rezende"
"508","Bulby - Diamond Course","Jan 19, 2017","$2.99","N/A (N/A)","5,855 ±2,245","3,603 ±1,761","02:48 (03:19)","Rafael Senne","Paperdog Games"
"573","Laser Lasso BALL","Feb 13, 2017","$3.99","N/A (N/A)","5,855 ±2,245","3,378 ±1,705","02:46 (03:09)","RagTagRadical","RagTagRadical LLC"
"655","Below Kryll","Sep 7, 2015","$4.99","82% (92%)","5,855 ±2,245","2,252 ±1,392","01:12 (01:45)","Team Kryll","Team Kryll"
"716","CDF Ghostship","Jun 26, 2015","$14.99","3% (35%)","5,855 ±2,245","4,279 ±1,919","07:13 (19:12)","MAG Studios","MAG Studios"
"765","Stellar Interface","Nov 21, 2016","$7.79","N/A (N/A)","5,855 ±2,245","3,153 ±1,647","03:51 (03:25)","ImaginationOverflow","ImaginationOverflow"
"795","Ground Breakers","Jun 15, 2016","$4.99","N/A (N/A)","5,855 ±2,245","3,829 ±1,815","04:59 (03:37)","UnitedIndie","UnitedIndie"
"919","Strategy & Tactics: Dark Ages","Aug 4, 2017","$14.99","33% (73%)","5,855 ±2,245","3,153 ±1,647","02:12 (02:14)","HeroCraft","HeroCraft"
"935","Attack Heroes","Apr 27, 2017","$9.99","37% (75%)","5,855 ±2,245","5,405 ±2,157","04:12 (03:08)","Ejoy Games","Ejoy Games"
"1007","Robot Arena III","Jun 20, 2016","$19.99","2% (31%)","5,855 ±2,245","5,630 ±2,202","05:31 (03:21)","Gabriel Interactive","Octopus Tree"
"1014","GIBZ","Apr 7, 2017","$7.99","47% (80%)","5,855 ±2,245","5,405 ±2,157","04:57 (04:22)","Torrunt","Torrunt"
"570","Dark Days","Jun 3, 2016","$2.99","N/A (N/A)","5,630 ±2,202","901 ±880","00:17 (00:11)","Brutal Studio","Brutal Studio"
"1020","Miniature - The Story Puzzle","Oct 28, 2016","$3.99","N/A (N/A)","5,630 ±2,202","450 ±622","00:28 (00:15)","purpleElephant","purpleElephant"
"296","Miner Meltdown","Aug 2, 2017","$6.99","N/A (N/A)","5,405 ±2,157","2,252 ±1,392","02:28 (03:46)","Mighty Pebble Games Inc","Mighty Pebble Games Inc"
"515","Moribund","Mar 16, 2017","$6.49","N/A (N/A)","5,405 ±2,157","3,153 ±1,647","03:05 (02:58)","Traptics","Traptics"
"591","Mind OVR Matter","May 22, 2017","$4.99","N/A (N/A)","5,405 ±2,157","1,351 ±1,078","00:37 (01:02)","Joe Chatfield","Joe Chatfield"
"645","Nekuia","Dec 16, 2016","$9.99","N/A (N/A)","5,405 ±2,157","2,702 ±1,525","03:49 (04:19)","Blue Gate","Blue Gate, Plug In Digital"
"653","Counter Spell","Oct 5, 2015","$9.99","82% (92%)","5,405 ±2,157","4,054 ±1,868","04:09 (02:33)","Abnormal Software","Abnormal Software"
"862","Super Mutant Alien Assault","Jul 11, 2016","$9.99","N/A (N/A)","5,405 ±2,157","4,504 ±1,969","02:21 (01:28)","Cybernate","Surprise Attack"
"958","Blue Effect VR","Feb 8, 2017","$14.99","54% (83%)","5,405 ±2,157","5,180 ±2,112","01:21 (00:59)","DIVR Labs","DIVR Labs"
"331","Repulsanoid","Jan 17, 2017","$1.99","N/A (N/A)","5,180 ±2,112","3,153 ±1,647","03:48 (04:06)","Slash Star Studios","Slash Star Studios"
"669","Pro Pinball Ultra","Jul 21, 2016","$14.99","49% (81%)","5,180 ±2,112","5,180 ±2,112","08:00 (02:56)","Barnstorm Games","Barnstorm Games"
"826","Sentris","Aug 22, 2014","$14.99","N/A (N/A)","5,180 ±2,112","3,378 ±1,705","00:52 (00:25)","Timbre Interactive","Timbre Interactive"
"881","Gun Bombers","Sep 21, 2016","$7.99","N/A (N/A)","5,180 ±2,112","225 ±440","00:07 (00:02)","Antti Vaihia","Antti Vaihia"
"976","Storm VR","Mar 23, 2017","$1.99","41% (77%)","5,180 ±2,112","3,829 ±1,815","01:56 (00:37)","TeamStormVR, Anrick, UNIT9","TeamStormVR"
"1006","Trackday Manager","Mar 31, 2016","$11.99","16% (60%)","5,180 ±2,112","4,504 ±1,969","37:47 (15:45)","Arctic Hazard Game Studio a/s","Arctic Hazard Game Studio a/s"
"526","Space Grunts","Jan 12, 2016","$9.99","N/A (N/A)","4,955 ±2,065","3,378 ±1,705","01:28 (01:59)","Orangepixel","Orangepixel"
"676","Jet Set Knights","Apr 7, 2016","$3.99","N/A (N/A)","4,955 ±2,065","3,829 ±1,815","03:36 (07:16)","FobTi interactive","FobTi interactive"
"821","Finque","Nov 11, 2016","$0.99","N/A (N/A)","4,955 ±2,065","3,829 ±1,815","03:33 (03:21)","Möf Selvi","Anatolian.Org"
"902","Subterra","Sep 18, 2017","$4.99","N/A (N/A)","4,955 ±2,065","2,477 ±1,460","02:10 (02:37)","Warfare Studios","Red Dahlia"
"956","Citadel","Aug 17, 2016","Free","N/A (N/A)","4,955 ±2,065","4,054 ±1,868","02:52 (03:12)","Magisterion, 3Dever","Magisterion"
"394","Off-Road Paradise: Trial 4x4","Feb 6, 2017","$19.99","23% (66%)","4,729 ±2,018","4,054 ±1,868","01:29 (00:40)","Ivanovich Games","Ivanovich Games"
"509","Snow Fortress","Dec 16, 2016","$14.99","N/A (N/A)","4,729 ±2,018","4,054 ±1,868","02:52 (04:06)","Mythical City Games","Mythical City Games"
"513","Don't cut your hand","May 30, 2017","$0.99","51% (82%)","4,729 ±2,018","3,603 ±1,761","00:38 (00:28)","Kether Studio","Kether Studio"
"532","'n Verlore Verstand","Apr 5, 2016","$14.99","N/A (N/A)","4,729 ±2,018","1,576 ±1,165","64:55 (75:53)","Skobbejak Games","Skobbejak Games"
"613","Craft Keep VR","Apr 21, 2017","$14.99","N/A (N/A)","4,729 ±2,018","3,603 ±1,761","02:12 (02:21)","Arvydas Žemaitis","Excalibur Games"
"677","Chicku","May 5, 2016","$4.99","N/A (N/A)","4,729 ±2,018","3,603 ±1,761","02:15 (02:47)","Gatling Goat Studios","Gatling Goat Studios"
"687","Phantasmal: Survival Horror Roguelike","Apr 14, 2016","$14.99","7% (47%)","4,729 ±2,018","3,603 ±1,761","01:15 (01:32)","Eyemobi Ltd.","Eyemobi Ltd."
"730","Ruzar - The Life Stone","Dec 2, 2015","$12.99","30% (71%)","4,729 ±2,018","2,928 ±1,587","05:22 (05:36)","Hammer Glass Studio","Hammer Glass Studio"
"785","Leashed Soul","Jul 31, 2017","$4.99","N/A (N/A)","4,729 ±2,018","2,928 ±1,587","03:02 (02:58)","Level One Games","LumiNet"
"999","Quick Draw","Jan 10, 2017","$9.99","N/A (N/A)","4,729 ±2,018","1,802 ±1,245","16:09 (01:13)","Playing With Matches","Playing With Matches"
"1011","Zombasite","Aug 23, 2016","$19.99","54% (83%/66%)","4,729 ±2,018","4,279 ±1,919","21:53 (07:46)","Soldak Entertainment","Soldak Entertainment"
"239","Mantis Burn Racing","Oct 12, 2016","$14.99","N/A (N/A/71%)","4,504 ±1,969","4,054 ±1,868","04:41 (02:17)","VooFoo Studios","VooFoo Studios"
"530","The Storm Guard: Darkness is Coming","Aug 25, 2016","$19.99","47% (80%)","4,504 ±1,969","3,829 ±1,815","13:32 (10:21)","Bitmen Studios","Bitmen Studios"
"626","Samurai Wars","May 2, 2017","$1.99","N/A (N/A)","4,504 ±1,969","2,702 ±1,525","03:08 (03:00)","Kirill Kupryakhin, Pavel Shakhov","Kirill Kupryakhin"
"690","Dead Star","Apr 5, 2016","$19.99","26% (68%)","4,504 ±1,969","3,829 ±1,815","09:07 (04:35)","Armature Studio, LLC","Armature Studio, LLC"
"692","Dragonflight","Jul 27, 2017","$15.99","10% (52%)","4,504 ±1,969","3,603 ±1,761","00:33 (00:26)","Blackthorn Media Inc","Blackthorn Media Inc"
"906","Lif","Jan 21, 2016","Free","12% (54%)","4,504 ±1,969","4,279 ±1,919","19:37 (12:05)","Imigea Ltd","Gamevial"
"955","Dimensional","Dec 14, 2016","$2.49","N/A (N/A)","4,504 ±1,969","1,126 ±984","00:18 (00:21)","Brett Jackson","Head Start Design"
"1039","Balloon Chair Death Match","Jul 13, 2017","$14.99","N/A (N/A)","4,504 ±1,969","2,252 ±1,392","00:37 (00:28)","Climax Studios Ltd","Climax Studios Ltd"
"618","Vortex Attack:","May 27, 2015","$6.99","N/A (N/A)","4,279 ±1,919","2,928 ±1,587","02:31 (02:43)","KaleidoGames","KaleidoGames"
"664","Fine China","May 5, 2017","$0.99","N/A (N/A)","4,279 ±1,919","901 ±880","00:04 (00:04)","Fine China Games","Fine China Games"
"742","Team Racing League","Aug 11, 2017","$9.99","N/A (N/A)","4,279 ±1,919","2,928 ±1,587","00:27 (00:17)","Gamious","Gamious"
"767","Tyd wag vir Niemand (Time waits for Nobody)","Jul 7, 2017","$9.99","N/A (N/A)","4,279 ±1,919","225 ±440","438:03 (146:01)","Skobbejak Games","Skobbejak Games"
"783","What The Heck, Dude?","Jan 10, 2017","$0.99","1% (24%)","4,279 ±1,919","3,829 ±1,815","05:27 (01:19)","The_Kiddy","The_Kiddy"
"895","OreLight","Jun 29, 2015","$14.99","3% (37%)","4,279 ±1,919","4,054 ±1,868","02:48 (01:20)","GeekBeach","GeekBeach"
"198","Terroir","Sep 20, 2017","$14.99","28% (70%)","4,054 ±1,868","2,928 ±1,587","05:05 (05:35)","General Interactive Co.","General Interactive Co."
"390","The Adventurer and His Backpack","Sep 4, 2017","$2.99","N/A (N/A)","4,054 ±1,868","3,378 ±1,705","03:35 (02:56)","疯王子","疯王子中二集团总部"
"466","Dungeon Kingdom: Sign of the Moon","Nov 19, 2015","$18.99","N/A (N/A)","4,054 ±1,868","3,153 ±1,647","08:20 (10:58)","Hydro Games","Hydro Games"
"492","Blamdown: Udder Fury","Aug 30, 2016","$4.99","N/A (N/A)","4,054 ±1,868","3,153 ±1,647","03:14 (03:22)","Guru Games","Guru Games"
"712","Cards of Chaos","Mar 3, 2017","$11.24","N/A (N/A)","4,054 ±1,868","2,702 ±1,525","03:10 (04:04)","Pixel Battery","Pixel Battery"
"734","Gnomes Vs. Fairies: Greckel's Quest","Jul 1, 2016","$9.99","N/A (N/A)","4,054 ±1,868","2,928 ±1,587","02:29 (01:29)","Prismic Studios LLC","Prismic Studios LLC"
"736","Super Button Soccer","Jul 20, 2016","$6.99","N/A (N/A)","4,054 ±1,868","3,153 ±1,647","06:02 (07:06)","Smyowl Game Studio","Smyowl Game Studio"
"797","Survival Is Not Enough","Jul 14, 2017","$4.99","N/A (N/A)","4,054 ±1,868","2,928 ±1,587","01:44 (01:57)","Fixer Games","Fixer Games"
"848","Fracture the Flag","Dec 7, 2016","$4.99","30% (71%)","4,054 ±1,868","3,378 ±1,705","01:18 (00:47)","One Wheel Studio","One Wheel Studio"
"934","Max's Big Bust - A Captain Nekorai Tale","Feb 6, 2017","$29.99","89% (94%)","4,054 ±1,868","3,153 ±1,647","15:07 (19:30)","Lached Up Games","Lached Up Games"
"941","Constricting Cubes","Nov 7, 2016","$2.99","N/A (N/A)","4,054 ±1,868","0 ±0","00:00 (00:00)","D.W.S.","D.W.S."
"995","Garage Drummer VR","Jun 21, 2016","$5.99","N/A (N/A)","4,054 ±1,868","2,027 ±1,321","00:49 (00:46)","Blazing Tree Studio","Blazing Tree Studio"
"997","Project Hovercraft","Oct 19, 2016","$14.99","N/A (N/A)","4,054 ±1,868","225 ±440","00:17 (00:05)","Allusio","Allusio"
"371","Andarilho","May 5, 2017","$0.99","12% (54%)","3,829 ±1,815","2,477 ±1,460","03:14 (04:46)","SC Jogos","SC Jogos"
"544","Driftwatch VR","Dec 1, 2016","$2.99","N/A (N/A)","3,829 ±1,815","1,126 ±984","01:19 (02:01)","Sevenedge Interactive Media","Sevenedge Interactive Media"
"566","World Defense : A Fragmented Reality Game","Mar 7, 2016","$0.99","N/A (N/A)","3,829 ±1,815","225 ±440","00:32 (00:10)","Hobbisoft","GCE, LLC"
"671","Spellcrafter","May 4, 2015","$9.99","N/A (N/A)","3,829 ±1,815","2,252 ±1,392","03:06 (04:00)","Jujubee S.A.","Jujubee S.A."
"715","Incorp Inc","Apr 3, 2017","$3.99","N/A (N/A)","3,829 ±1,815","225 ±440","00:01 (00:00)","Squadleader32, FN1, Sunshine1","HJO Creations"
"751","Defect","Jul 28, 2016","$14.99","N/A (N/A)","3,829 ±1,815","3,153 ±1,647","05:59 (02:08)","Three Phase Interactive Pty Ltd","Three Phase Interactive Pty Ltd"
"835","Stellar Monarch","Dec 5, 2016","$19.99","41% (77%)","3,829 ±1,815","2,928 ±1,587","05:37 (03:18)","Silver Lemur Games","Silver Lemur Games"
"961","Blood Feed","Jul 19, 2017","$1.99","21% (64%)","3,829 ±1,815","2,702 ±1,525","00:51 (01:21)","Racing Bros","ANPA.US"
"975","Tacopocalypse","Mar 14, 2017","$7.99","N/A (N/A)","3,829 ±1,815","2,252 ±1,392","01:11 (01:04)","Cherry Pie Games","Cherry Pie Games"
"188","Realms of Arkania: Star Trail","Aug 10, 2017","$29.99","49% (81%)","3,603 ±1,761","3,153 ±1,647","21:05 (31:29)","Crafty Studios","United Independent Entertainment GmbH"
"474","Satellite Rush","Nov 16, 2016","$4.99","N/A (N/A)","3,603 ±1,761","2,027 ±1,321","03:23 (04:10)","Kimeric Labs","Plug In Digital"
"482","NeonXSZ","Feb 22, 2016","$14.99","62% (86%)","3,603 ±1,761","2,702 ±1,525","04:10 (02:21)","Intravenous Software","None - Independent"
"493","Crystal Control II","Jul 12, 2017","$4.99","N/A (N/A)","3,603 ±1,761","2,928 ±1,587","02:52 (03:11)","Virtually Competent, LLC","Virtually Competent, LLC"
"512","WackyMoles","Dec 12, 2016","$5.99","N/A (N/A)","3,603 ±1,761","450 ±622","00:22 (00:14)","CrystalGame","CrystalGame"
"651","Super Indie Karts","May 6, 2015","$9.99","65% (87%)","3,603 ±1,761","2,477 ±1,460","01:09 (00:50)","One Legged Seagull","One Legged Seagull"
"696","Kim","Oct 24, 2016","$7.49","N/A (N/A)","3,603 ±1,761","2,252 ±1,392","03:56 (02:18)","The Secret Games Company","The Secret Games Company"
"731","Colortone","Oct 29, 2015","$4.99","N/A (N/A)","3,603 ±1,761","1,126 ±984","01:00 (00:51)","Kirill Kupryakhin","Kirill Kupryakhin"
